disease,symptoms
cervical spondylosis,ive been having a lot of pain in my neck and back ive also been having trouble with my balance and coordination ive been coughing a lot and my limbs feel weak
impetigo,i have a rash on my face that is getting worse it is red inflamed and has blisters that are bleeding clear pus it is really painful
urinary tract infection,i have been urinating blood i sometimes feel sick to my stomach when i urinate i often feel like i have a fever
arthritis,i have been having trouble with my muscles and joints my neck is really tight and my muscles feel weak i have swollen joints and it is hard to move around without becoming stiff it is also really uncomfortable to walk
dengue,i have been feeling really sick my body hurts a lot and i have no appetite i have also developed rashes on my arms and face the back of my eyes hurt a lot
common cold,ive been feeling really run down and weak my throat is sore and ive been coughing a lot ive also been having chills and a fever
dengue,i have rashes all over my body i also have a high fever chills headache body aches and pain behind my eyes
dengue,i have been feeling nauseous and have a constant urge to vomit which is accompanied with mild fever and headache i also feel very weak and tired
impetigo,i have a rash around my nose that is red and inflamed the rash has caused my skin to become dry and flaky and there is a yellow colored fluid coming out of the sores
drug reaction,i have a rash on my chest and back and it itches i also have dry skin that sometimes flakes and leaves marks on my body
arthritis,ive been experiencing stiffness in my neck and my joints have swollen ive also been experiencing pain when i walk
cervical spondylosis,i have been having a lot of pain in my back and neck i also have a cough that wont go away and i feel weak and dizzy
cervical spondylosis,i have been having back pain a cough and weakness in my limbs my neck is sore and i have been dizzy and have had trouble keeping my balance
urinary tract infection,i have been vomiting and having pelvic pain my pee sometimes has blood in it and it sometimes smells really bad i sometimes have trouble falling asleep because of my migraines
fungal infection,i have a rash on my skin that is itchy and has a different color than the rest of my skin i also have some firm pimples or breakouts on my skin
malaria,ive been really itchy all over my body and ive been getting chills and vomiting my fever is really high and ive been sweating a lot i also have a headache and i feel nauseous my muscles are really sore
allergy,im always tired and my mouth tastes terrible my throat itches and my muscles burn and ache sometimes i have cramps all over my body
bronchial asthma,ive been having a hard time breathing lately i feel like i cant get enough air and my chest feels tight ive also been coughing a lot and ive been producing a lot of mucus
varicose veins,i have varicose veins in my legs they are swollen and painful
common cold,ive been feeling really sick ive been really tired and i just dont feel good ive had a bad cough and my throat is really sore my nose is really congested and i have a lot of sinus pressure i just feel really run down and miserable
dengue,i have a rash all over my body that is really itchy i also have a fever body aches headache and chills
migraine,i have been having headaches for a while now they are very painful and last for a long time i also get nausea vomiting and sensitivity to light and sound
drug reaction,i have been having headaches and migraines i have been having difficulty sleeping i have been having muscle twitching and tremors sometimes i get lightheaded i think it might be a reaction to my medication
hypertension,ive been having headaches chest pain dizziness and trouble concentrating ive also noticed that my balance has been off
bronchial asthma,i have a cough that has been going on for a few days and i feel really weak and tired i have a high fever and my breathing is getting harder i also cough up a lot of mucus
urinary tract infection,ive been having a lot of trouble urinating i feel like i have to go all the time and when i do it hurts my urine is also cloudy and has a strong smell
varicose veins,i have a lot of varicose veins on my legs and they are really painful i also get cramps in my legs a lot
